prompt,completion,train
<s>[INST] Provide details for the goal scored by Luis Souza Ferreira of Peru in the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage.  [/INST],"The goal was scored by Luis Souza Ferreira of Peru in the 75' minute (second half) during the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Constantin Stanciu of Romania in the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage.  [/INST],"The goal was scored by Constantin Stanciu of Romania in the 79' minute (second half) during the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage. It was regular play. Minute of regulation: 79, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Miklós Kovács of Romania in the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage.  [/INST],"The goal was scored by Miklós Kovács of Romania in the 89' minute (second half) during the 1930 FIFA Men's World Cup match Romania vs Peru on 1930-07-14 at the group stage stage. It was regular play. Minute of regulation: 89, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Luis Monti of Argentina in the 1930 FIFA Men's World Cup match Argentina vs France on 1930-07-15 at the group stage stage.  [/INST],"The goal was scored by Luis Monti of Argentina in the 81' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs France on 1930-07-15 at the group stage stage. It was regular play. Minute of regulation: 81, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Carlos Vidal of Chile in the 1930 FIFA Men's World Cup match Chile vs Mexico on 1930-07-16 at the group stage stage.  [/INST],"The goal was scored by Carlos Vidal of Chile in the 3' minute (first half) during the 1930 FIFA Men's World Cup match Chile vs Mexico on 1930-07-16 at the group stage stage. It was regular play. Minute of regulation: 3, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Manuel Rosas of Chile in the 1930 FIFA Men's World Cup match Chile vs Mexico on 1930-07-16 at the group stage stage.  [/INST],"The goal was scored by Manuel Rosas of Chile in the 52' minute (second half) during the 1930 FIFA Men's World Cup match Chile vs Mexico on 1930-07-16 at the group stage stage. It was an own goal. Minute of regulation: 52, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Carlos Vidal of Chile in the 1930 FIFA Men's World Cup match Chile vs Mexico on 1930-07-16 at the group stage stage.  [/INST],"The goal was scored by Carlos Vidal of Chile in the 65' minute (second half) during the 1930 FIFA Men's World Cup match Chile vs Mexico on 1930-07-16 at the group stage stage. It was regular play. Minute of regulation: 65, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Ivan Bek of Yugoslavia in the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage.  [/INST],"The goal was scored by Ivan Bek of Yugoslavia in the 60' minute (second half) during the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage. It was regular play. Minute of regulation: 60, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Blagoje Marjanović of Yugoslavia in the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage.  [/INST],"The goal was scored by Blagoje Marjanović of Yugoslavia in the 65' minute (second half) during the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage. It was regular play. Minute of regulation: 65, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Ivan Bek of Yugoslavia in the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage.  [/INST],"The goal was scored by Ivan Bek of Yugoslavia in the 67' minute (second half) during the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage. It was regular play. Minute of regulation: 67, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Đorđe Vujadinović of Yugoslavia in the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage.  [/INST],"The goal was scored by Đorđe Vujadinović of Yugoslavia in the 85' minute (second half) during the 1930 FIFA Men's World Cup match Yugoslavia vs Bolivia on 1930-07-17 at the group stage stage. It was regular play. Minute of regulation: 85, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Bert Patenaude of United States in the 1930 FIFA Men's World Cup match United States vs Paraguay on 1930-07-17 at the group stage stage.  [/INST],"The goal was scored by Bert Patenaude of United States in the 10' minute (first half) during the 1930 FIFA Men's World Cup match United States vs Paraguay on 1930-07-17 at the group stage stage. It was regular play. Minute of regulation: 10, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Bert Patenaude of United States in the 1930 FIFA Men's World Cup match United States vs Paraguay on 1930-07-17 at the group stage stage.  [/INST],"The goal was scored by Bert Patenaude of United States in the 15' minute (first half) during the 1930 FIFA Men's World Cup match United States vs Paraguay on 1930-07-17 at the group stage stage. It was regular play. Minute of regulation: 15, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Bert Patenaude of United States in the 1930 FIFA Men's World Cup match United States vs Paraguay on 1930-07-17 at the group stage stage.  [/INST],"The goal was scored by Bert Patenaude of United States in the 50' minute (second half) during the 1930 FIFA Men's World Cup match United States vs Paraguay on 1930-07-17 at the group stage stage. It was regular play. Minute of regulation: 50, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Héctor Castro of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Peru on 1930-07-18 at the group stage stage.  [/INST],"The goal was scored by Héctor Castro of Uruguay in the 65' minute (second half) during the 1930 FIFA Men's World Cup match Uruguay vs Peru on 1930-07-18 at the group stage stage. It was regular play. Minute of regulation: 65, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Subiabre of Chile in the 1930 FIFA Men's World Cup match Chile vs France on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Guillermo Subiabre of Chile in the 67' minute (second half) during the 1930 FIFA Men's World Cup match Chile vs France on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 67, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 8' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 8, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Adolfo Zumelzú of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Adolfo Zumelzú of Argentina in the 12' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 12, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 17' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 17, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Manuel Rosas of Mexico in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Manuel Rosas of Mexico in the 42' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was a penalty. Minute of regulation: 42, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Francisco Varallo of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Francisco Varallo of Argentina in the 53' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 53, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Adolfo Zumelzú of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Adolfo Zumelzú of Argentina in the 55' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 55, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Manuel Rosas of Mexico in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Manuel Rosas of Mexico in the 65' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 65, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Roberto Gayón of Mexico in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Roberto Gayón of Mexico in the 75' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 75, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 80' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs Mexico on 1930-07-19 at the group stage stage. It was regular play. Minute of regulation: 80, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Moderato of Brazil in the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage.  [/INST],"The goal was scored by not applicable Moderato of Brazil in the 37' minute (first half) during the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage. It was regular play. Minute of regulation: 37, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Preguinho of Brazil in the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage.  [/INST],"The goal was scored by not applicable Preguinho of Brazil in the 57' minute (second half) during the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage. It was regular play. Minute of regulation: 57, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Moderato of Brazil in the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage.  [/INST],"The goal was scored by not applicable Moderato of Brazil in the 73' minute (second half) during the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage. It was regular play. Minute of regulation: 73, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by not applicable Preguinho of Brazil in the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage.  [/INST],"The goal was scored by not applicable Preguinho of Brazil in the 83' minute (second half) during the 1930 FIFA Men's World Cup match Brazil vs Bolivia on 1930-07-20 at the group stage stage. It was regular play. Minute of regulation: 83, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Luis Vargas Peña of Paraguay in the 1930 FIFA Men's World Cup match Paraguay vs Belgium on 1930-07-20 at the group stage stage.  [/INST],"The goal was scored by Luis Vargas Peña of Paraguay in the 40' minute (first half) during the 1930 FIFA Men's World Cup match Paraguay vs Belgium on 1930-07-20 at the group stage stage. It was regular play. Minute of regulation: 40, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pablo Dorado of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage.  [/INST],"The goal was scored by Pablo Dorado of Uruguay in the 7' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage. It was regular play. Minute of regulation: 7, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Héctor Scarone of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage.  [/INST],"The goal was scored by Héctor Scarone of Uruguay in the 26' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage. It was regular play. Minute of regulation: 26, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Peregrino Anselmo of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage.  [/INST],"The goal was scored by Peregrino Anselmo of Uruguay in the 31' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage. It was regular play. Minute of regulation: 31, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pedro Cea of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage.  [/INST],"The goal was scored by Pedro Cea of Uruguay in the 35' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Romania on 1930-07-21 at the group stage stage. It was regular play. Minute of regulation: 35, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 12' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage. It was regular play. Minute of regulation: 12, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 13' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage. It was regular play. Minute of regulation: 13, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Subiabre of Chile in the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage.  [/INST],"The goal was scored by Guillermo Subiabre of Chile in the 15' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage. It was regular play. Minute of regulation: 15, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Mario Evaristo of Argentina in the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage.  [/INST],"The goal was scored by Mario Evaristo of Argentina in the 51' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs Chile on 1930-07-22 at the group stage stage. It was regular play. Minute of regulation: 51, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Luis Monti of Argentina in the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage.  [/INST],"The goal was scored by Luis Monti of Argentina in the 20' minute (first half) during the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage. It was regular play. Minute of regulation: 20, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Alejandro Scopelli of Argentina in the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage.  [/INST],"The goal was scored by Alejandro Scopelli of Argentina in the 56' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage. It was regular play. Minute of regulation: 56, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 69' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage. It was regular play. Minute of regulation: 69, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Carlos Peucelle of Argentina in the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage.  [/INST],"The goal was scored by Carlos Peucelle of Argentina in the 80' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage. It was regular play. Minute of regulation: 80, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Carlos Peucelle of Argentina in the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage.  [/INST],"The goal was scored by Carlos Peucelle of Argentina in the 85' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage. It was regular play. Minute of regulation: 85, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 87' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage. It was regular play. Minute of regulation: 87, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Jim Brown of United States in the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage.  [/INST],"The goal was scored by Jim Brown of United States in the 89' minute (second half) during the 1930 FIFA Men's World Cup match Argentina vs United States on 1930-07-26 at the semi-finals stage. It was regular play. Minute of regulation: 89, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Đorđe Vujadinović of Yugoslavia in the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage.  [/INST],"The goal was scored by Đorđe Vujadinović of Yugoslavia in the 4' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage. It was regular play. Minute of regulation: 4, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pedro Cea of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage.  [/INST],"The goal was scored by Pedro Cea of Uruguay in the 18' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage. It was regular play. Minute of regulation: 18, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Peregrino Anselmo of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage.  [/INST],"The goal was scored by Peregrino Anselmo of Uruguay in the 20' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage. It was regular play. Minute of regulation: 20, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Peregrino Anselmo of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage.  [/INST],"The goal was scored by Peregrino Anselmo of Uruguay in the 31' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage. It was regular play. Minute of regulation: 31, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Santos Iriarte of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage.  [/INST],"The goal was scored by Santos Iriarte of Uruguay in the 61' minute (second half) during the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage. It was regular play. Minute of regulation: 61, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pedro Cea of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage.  [/INST],"The goal was scored by Pedro Cea of Uruguay in the 67' minute (second half) during the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage. It was regular play. Minute of regulation: 67, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pedro Cea of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage.  [/INST],"The goal was scored by Pedro Cea of Uruguay in the 72' minute (second half) during the 1930 FIFA Men's World Cup match Uruguay vs Yugoslavia on 1930-07-27 at the semi-finals stage. It was regular play. Minute of regulation: 72, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pablo Dorado of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage.  [/INST],"The goal was scored by Pablo Dorado of Uruguay in the 12' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage. It was regular play. Minute of regulation: 12, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Carlos Peucelle of Argentina in the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage.  [/INST],"The goal was scored by Carlos Peucelle of Argentina in the 20' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage. It was regular play. Minute of regulation: 20, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Guillermo Stábile of Argentina in the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage.  [/INST],"The goal was scored by Guillermo Stábile of Argentina in the 37' minute (first half) during the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage. It was regular play. Minute of regulation: 37, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Pedro Cea of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage.  [/INST],"The goal was scored by Pedro Cea of Uruguay in the 57' minute (second half) during the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage. It was regular play. Minute of regulation: 57, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Santos Iriarte of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage.  [/INST],"The goal was scored by Santos Iriarte of Uruguay in the 68' minute (second half) during the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage. It was regular play. Minute of regulation: 68, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Héctor Castro of Uruguay in the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage.  [/INST],"The goal was scored by Héctor Castro of Uruguay in the 89' minute (second half) during the 1930 FIFA Men's World Cup match Uruguay vs Argentina on 1930-07-30 at the final stage. It was regular play. Minute of regulation: 89, minute of stoppage: 0.",evaluation
<s>[INST] Provide details for the goal scored by Jean Nicolas of France in the 1934 FIFA Men's World Cup match Austria vs France on 1934-05-27 at the round of 16 stage.  [/INST],"The goal was scored by Jean Nicolas of France in the 18' minute (first half) during the 1934 FIFA Men's World Cup match Austria vs France on 1934-05-27 at the round of 16 stage. It was regular play. Minute of regulation: 18, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Matthias Sindelar of Austria in the 1934 FIFA Men's World Cup match Austria vs France on 1934-05-27 at the round of 16 stage.  [/INST],"The goal was scored by Matthias Sindelar of Austria in the 44' minute (first half) during the 1934 FIFA Men's World Cup match Austria vs France on 1934-05-27 at the round of 16 stage. It was regular play. Minute of regulation: 44, minute of stoppage: 0.",train
<s>[INST] Provide details for the goal scored by Anton Schall of Austria in the 1934 FIFA Men's World Cup match Austria vs France on 1934-05-27 at the round of 16 stage.  [/INST],"The goal was scored by Anton Schall of Austria in the 93' minute (extra time, first half) during the 1934 FIFA Men's World Cup match Austria vs France on 1934-05-27 at the round of 16 stage. It was regular play. Minute of regulation: 93, minute of stoppage: 0.",train
