prompt,completion
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by not applicable Zico of Brazil. [/INST],The penalty was taken by not applicable Zico of Brazil wearing shirt number 10 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by not applicable Branco of Brazil. [/INST],The penalty was taken by not applicable Branco of Brazil wearing shirt number 17 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by Júlio César of Brazil. [/INST],The penalty was taken by Júlio César of Brazil wearing shirt number 14 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by Yannick Stopyra of France. [/INST],The penalty was taken by Yannick Stopyra of France wearing shirt number 19 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by Manuel Amoros of France. [/INST],The penalty was taken by Manuel Amoros of France wearing shirt number 2 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by Bruno Bellone of France. [/INST],The penalty was taken by Bruno Bellone of France wearing shirt number 16 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by Michel Platini of France. [/INST],The penalty was taken by Michel Platini of France wearing shirt number 10 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The penalty was taken by Luis Fernández of France. [/INST],The penalty was taken by Luis Fernández of France wearing shirt number 9 during the 1986 FIFA Men's World Cup match Brazil vs France on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The penalty was taken by Klaus Allofs of West Germany. [/INST],The penalty was taken by Klaus Allofs of West Germany wearing shirt number 19 during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The penalty was taken by Andreas Brehme of West Germany. [/INST],The penalty was taken by Andreas Brehme of West Germany wearing shirt number 3 during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The penalty was taken by Lothar Matthäus of West Germany. [/INST],The penalty was taken by Lothar Matthäus of West Germany wearing shirt number 8 during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The penalty was taken by Pierre Littbarski of West Germany. [/INST],The penalty was taken by Pierre Littbarski of West Germany wearing shirt number 7 during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The penalty was taken by Manuel Negrete of Mexico. [/INST],The penalty was taken by Manuel Negrete of Mexico wearing shirt number 22 during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The penalty was taken by Fernando Quirarte of Mexico. [/INST],The penalty was taken by Fernando Quirarte of Mexico wearing shirt number 3 during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The penalty was taken by Raúl Servín of Mexico. [/INST],The penalty was taken by Raúl Servín of Mexico wearing shirt number 17 during the 1986 FIFA Men's World Cup match West Germany vs Mexico on 1986-06-21 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by Juan Antonio Señor of Spain. [/INST],The penalty was taken by Juan Antonio Señor of Spain wearing shirt number 7 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by not applicable Eloy of Spain. [/INST],The penalty was taken by not applicable Eloy of Spain wearing shirt number 20 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by not applicable Chendo of Spain. [/INST],The penalty was taken by not applicable Chendo of Spain wearing shirt number 15 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by Emilio Butragueño of Spain. [/INST],The penalty was taken by Emilio Butragueño of Spain wearing shirt number 9 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by not applicable Víctor of Spain. [/INST],The penalty was taken by not applicable Víctor of Spain wearing shirt number 5 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by Nico Claesen of Belgium. [/INST],The penalty was taken by Nico Claesen of Belgium wearing shirt number 16 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by Enzo Scifo of Belgium. [/INST],The penalty was taken by Enzo Scifo of Belgium wearing shirt number 8 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by Hugo Broos of Belgium. [/INST],The penalty was taken by Hugo Broos of Belgium wearing shirt number 19 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by Patrick Vervoort of Belgium. [/INST],The penalty was taken by Patrick Vervoort of Belgium wearing shirt number 22 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The penalty was taken by Leo Van Der Elst of Belgium. [/INST],The penalty was taken by Leo Van Der Elst of Belgium wearing shirt number 15 during the 1986 FIFA Men's World Cup match Spain vs Belgium on 1986-06-22 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Kevin Sheedy of Republic of Ireland. [/INST],The penalty was taken by Kevin Sheedy of Republic of Ireland wearing shirt number 11 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Ray Houghton of Republic of Ireland. [/INST],The penalty was taken by Ray Houghton of Republic of Ireland wearing shirt number 8 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Andy Townsend of Republic of Ireland. [/INST],The penalty was taken by Andy Townsend of Republic of Ireland wearing shirt number 13 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Tony Cascarino of Republic of Ireland. [/INST],The penalty was taken by Tony Cascarino of Republic of Ireland wearing shirt number 10 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by David O'Leary of Republic of Ireland. [/INST],The penalty was taken by David O'Leary of Republic of Ireland wearing shirt number 12 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Gheorghe Hagi of Romania. [/INST],The penalty was taken by Gheorghe Hagi of Romania wearing shirt number 10 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Dănuț Lupu of Romania. [/INST],The penalty was taken by Dănuț Lupu of Romania wearing shirt number 11 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Iosif Rotariu of Romania. [/INST],The penalty was taken by Iosif Rotariu of Romania wearing shirt number 5 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Ioan Lupescu of Romania. [/INST],The penalty was taken by Ioan Lupescu of Romania wearing shirt number 21 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The penalty was taken by Daniel Timofte of Romania. [/INST],The penalty was taken by Daniel Timofte of Romania wearing shirt number 16 during the 1990 FIFA Men's World Cup match Republic of Ireland vs Romania on 1990-06-25 at the round of 16 stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by José Serrizuela of Argentina. [/INST],The penalty was taken by José Serrizuela of Argentina wearing shirt number 18 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Jorge Burruchaga of Argentina. [/INST],The penalty was taken by Jorge Burruchaga of Argentina wearing shirt number 7 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Diego Maradona of Argentina. [/INST],The penalty was taken by Diego Maradona of Argentina wearing shirt number 10 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Pedro Troglio of Argentina. [/INST],The penalty was taken by Pedro Troglio of Argentina wearing shirt number 21 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Gustavo Dezotti of Argentina. [/INST],The penalty was taken by Gustavo Dezotti of Argentina wearing shirt number 9 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Dragan Stojković of Yugoslavia. [/INST],The penalty was taken by Dragan Stojković of Yugoslavia wearing shirt number 10 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Robert Prosinečki of Yugoslavia. [/INST],The penalty was taken by Robert Prosinečki of Yugoslavia wearing shirt number 15 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Dejan Savićević of Yugoslavia. [/INST],The penalty was taken by Dejan Savićević of Yugoslavia wearing shirt number 19 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Dragoljub Brnović of Yugoslavia. [/INST],The penalty was taken by Dragoljub Brnović of Yugoslavia wearing shirt number 7 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The penalty was taken by Faruk Hadžibegić of Yugoslavia. [/INST],The penalty was taken by Faruk Hadžibegić of Yugoslavia wearing shirt number 5 during the 1990 FIFA Men's World Cup match Argentina vs Yugoslavia on 1990-06-30 at the quarter-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by José Serrizuela of Argentina. [/INST],The penalty was taken by José Serrizuela of Argentina wearing shirt number 18 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Jorge Burruchaga of Argentina. [/INST],The penalty was taken by Jorge Burruchaga of Argentina wearing shirt number 7 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Julio Olarticoechea of Argentina. [/INST],The penalty was taken by Julio Olarticoechea of Argentina wearing shirt number 16 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Diego Maradona of Argentina. [/INST],The penalty was taken by Diego Maradona of Argentina wearing shirt number 10 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Franco Baresi of Italy. [/INST],The penalty was taken by Franco Baresi of Italy wearing shirt number 2 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Roberto Baggio of Italy. [/INST],The penalty was taken by Roberto Baggio of Italy wearing shirt number 15 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Luigi De Agostini of Italy. [/INST],The penalty was taken by Luigi De Agostini of Italy wearing shirt number 4 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Roberto Donadoni of Italy. [/INST],The penalty was taken by Roberto Donadoni of Italy wearing shirt number 17 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The penalty was taken by Aldo Serena of Italy. [/INST],The penalty was taken by Aldo Serena of Italy wearing shirt number 20 during the 1990 FIFA Men's World Cup match Argentina vs Italy on 1990-07-03 at the semi-finals stage. The player did not convert the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by Andreas Brehme of West Germany. [/INST],The penalty was taken by Andreas Brehme of West Germany wearing shirt number 3 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by Lothar Matthäus of West Germany. [/INST],The penalty was taken by Lothar Matthäus of West Germany wearing shirt number 10 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by Karl-Heinz Riedle of West Germany. [/INST],The penalty was taken by Karl-Heinz Riedle of West Germany wearing shirt number 13 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by Olaf Thon of West Germany. [/INST],The penalty was taken by Olaf Thon of West Germany wearing shirt number 20 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by Gary Lineker of England. [/INST],The penalty was taken by Gary Lineker of England wearing shirt number 10 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by Peter Beardsley of England. [/INST],The penalty was taken by Peter Beardsley of England wearing shirt number 9 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by David Platt of England. [/INST],The penalty was taken by David Platt of England wearing shirt number 17 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player converted the penalty.
<s>[INST] Provide details for the penalty kick taken during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The penalty was taken by Stuart Pearce of England. [/INST],The penalty was taken by Stuart Pearce of England wearing shirt number 3 during the 1990 FIFA Men's World Cup match West Germany vs England on 1990-07-04 at the semi-finals stage. The player did not convert the penalty.
